Id;Familiy Name;First name;Result;Percentage;Follower;uniqueid;Nb Tweet;Pair
marcorubio;marco;rubio;won;52;1800000;27122;73367;1
PatrickMurphyFL;patrick;murphy;lost;44.3;1.23E+04;5978;21705;1
TammyforIL;tammy;duckworth;won;54.9;36600;2853;4584;2
SenatorKirk;Mark;Kirk;lost;39.8;52800;4550;6541;2
GovernorHassan;Maggie;hassan;won;47.97;17600;672;1296;3
KellyAyotte;Kelly;Ayotte;lost;47.87;58800;11043;25570;3
SenJohnMcCain;john;mccain;won;53;2090000;21758;40945;4
RepKirkpatrick;Ann;Kirkpatrick;lost;41;11600;534;968;4
KamalaHarris;Kamala;Harris;won;61.8;143000;3202;5930;5
LorettaSanchez;Loretta;Sanchez;lost;38.2;19900;885;1333;5
SenSchumer;Chuck;Schumer;won;70.4;207000;2759;4961;6
WendyLongNY;Wendy;Long;lost;27.4;7345;1007;1872;6
SenBluementhal;Richard;Blumenthal;won;63.2;48200;915;1572;7
DanCarterCT;Dan;Carter;lost;34.6;1311;128;320;7
senrobportman;Rob;Portman;won;58;59700;1567;3770;8
Ted_Strickland;Ted;Strickland;lost;37.1;16700;2566;6301;8
SenatorIsakon;Johnny;Isakson;won;54.8;27600;834;1626;9
jimbarksdale;Jim;Barksdale;lost;41;1133;354;1058;9
RoyBlunt;Roy;Blunt;win;49.3;48700;1202;2309;10
JasonKander;Jason;Kander;lost;46.2;39900;2573;6148;10
CatherineForNV;Catherine;Cortez Masto;won;47.1;16200;2145;6595;11
RepJoeHeck;Joe;Heck;lost;44.7;12100;1471;2547;11
PattyMurray;Patty;Murray;won;59.04;59600;1698;5063;12
Chrisvance123;Chris;Vance;lost;40.96;1163;252;723;12
JerryMoran;Jerry;Moran;won;62.1;30400;484;771;13
wiesner4senate;Patrick;Wiesner;lost;32.2;48;13;23;13
MikeCrapo;Mike;Crapo;won;66.1;26800;2111;3034;14
Sturgill4Idaho;Jerry;Sturgill;lost;27.8;168;79;148;14
ToddYoungIN;Todd;Young;won;52.1;12600;1088;2959;15
SenEvanBayh;Evan;Bayh;lost;42.2;3631;351;459;15
ChuckGrassley;Chuck;Grassley;won;60.1;106000;2841;7644;16
pattyforiowa;Patty;Judge;lost;35.7;1975;540;1596;16
RandPaul;Rand;Paul;won;57.27;1040000;13915;26249;17
JimGrayLexKY;Jim;Gray;lost;42.73;16100;306;505;17
JohnKennedyLA;John;N. Kennedy;won;60.65;6133;259;722;18
CampbellforLa;Foster;Campbell;lost;39.35;6456;231;905;18
ChrisVanHollen;Chris;Van Hollen;won;60.9;32800;518;719;19
KathyforMD;Kathy;Szeliga;lost;35.7;3556;411;960;19
